stimulus_2,label_2,is_match_2,shouldpress_2,key_resp_6.rt,key_resp_6.keys
diamond.png,desirable self,0,Z,0.6191385,m
diamond.png,disgusting self,1,M,0.6300534,z
circle.png,desirable self,1,M,0.5356208,m
diamond.png,desirable self,0,Z,0.8922858,z
diamond.png,disgusting self,1,M,0.6270703,z
circle.png,disgusting self,0,Z,0.6808265,z
diamond.png,desirable self,0,Z,0.7950621,m
circle.png,desirable self,1,M,0.7071494,m
circle.png,disgusting self,0,Z,0.7094224,z
diamond.png,disgusting self,1,M,0.6395273,m
diamond.png,disgusting self,1,M,0.784465,m
circle.png,disgusting self,0,Z,0.6899195,z
diamond.png,desirable self,0,Z,0.9381524,m
circle.png,desirable self,1,M,0.5897063,m
circle.png,desirable self,1,M,0.7533331,m
diamond.png,disgusting self,1,M,0.4964659,z
circle.png,disgusting self,0,Z,0.6288011,z
diamond.png,desirable self,0,Z,0.654431,m
diamond.png,disgusting self,1,M,0.8261126,z
circle.png,desirable self,1,M,0.5446183,m
diamond.png,desirable self,0,Z,0.7493059,m
circle.png,disgusting self,0,Z,0.9262142,z
diamond.png,desirable self,0,Z,0.7156551,m
diamond.png,disgusting self,1,M,,None
circle.png,desirable self,1,M,0.5638515,m
circle.png,disgusting self,0,Z,0.6971267,z
circle.png,disgusting self,0,Z,0.9025873,z
diamond.png,disgusting self,1,M,0.6376983,m
diamond.png,desirable self,0,Z,0.7942923,z
circle.png,desirable self,1,M,0.5560631,m
diamond.png,desirable self,0,Z,0.7419091,z
diamond.png,disgusting self,1,M,0.9052977,m
circle.png,disgusting self,0,Z,0.5995754,z
circle.png,desirable self,1,M,0.6260419,m
circle.png,disgusting self,0,Z,0.7572146,z
diamond.png,disgusting self,1,M,0.5813843,m
circle.png,desirable self,1,M,0.6354346,m
diamond.png,desirable self,0,Z,0.8686891,z
diamond.png,disgusting self,1,M,0.695763,z
circle.png,disgusting self,0,Z,0.6866394,z
diamond.png,desirable self,0,Z,0.7217089,m
circle.png,desirable self,1,M,0.6157817,m
diamond.png,disgusting self,1,M,0.8070063,m
diamond.png,desirable self,0,Z,0.6324113,m
circle.png,disgusting self,0,Z,0.7217707,z
circle.png,desirable self,1,M,,None
